Track URI,Track Name,Album URI
spotify:track:0QxCLD4xJlE8vv0Cvrb8TO,'74-'75,spotify:album:5OIi0lw57XjbP7JjD0uHuS
spotify:track:4ePP9So5xRzspjLFVVbj90,Two Princes,spotify:album:2TWdmpnFNCMlZDQROleupK
spotify:track:6JHLoGr7Gss3HhBp5RdKiH,Sorry,spotify:album:1nmxUznbVkZorzeY4olXco
spotify:track:2LWJYvdBdcG8JMFQ1zOduR,I Begin to Wonder,spotify:album:1hL6LPPd0YZcrE4858xIIR
spotify:track:0mkRjDV6wzXg9rFUL1BEW0,iYiYi (feat. Flo Rida),spotify:album:4OFvKdVDW2iJBGbxZCqGad
spotify:track:7utcI11TJOG04Vl3noomNX,This Is Tomorrow,spotify:album:5mop3U7FxoJDAP3AACa5x2
spotify:track:5yVIlYEHZxQVLyInCdldoS,Impossible,spotify:album:029WUoBjWc7Js1QiPH3mw0
spotify:track:78Rxtykmgn8XZTGyYBpaDn,Hello - Edited Version,spotify:album:5p6366G0kGyFvs58NUhuij
spotify:track:5G5S96EyI1Y5g6SpRSHbrb,"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",spotify:album:5gThgG5LPRzL8Egdm2Izpm
spotify:track:31sSFHIe4NaxltVFOEIcTa,working,spotify:album:4iCcsBlzVQVZoJzxBvhuyS
spotify:track:2fykwqa2RQzI6nBCwhTfqD,Love Me Like You,spotify:album:2BTYDZEWcHgCxCnDM4ribC
spotify:track:7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),spotify:album:2p9gK2BcdrloHNJwarc9gc
spotify:track:0bNKoOshkbM0HmS3KXeM89,Borrow My Heart,spotify:album:4MCld6WjAzS4chIDFJL9en
spotify:track:13j7S1J1MVDY3z2Ljl9O1H,Always,spotify:album:1OYl5abBuSaZFR4SgjASGe
spotify:track:04iCsRraf8cH2HnS26BuwY,Nasty Girl - Main,spotify:album:50DZkQXHtsUjZksvKZ77q4
spotify:track:4hrae8atte6cRlSC9a7VCO,Always On Time,spotify:album:2wMavIKnu6feFNOeQ1hVwf
spotify:track:5MWKU5MnIuv5uQez4n0byz,Cream - Without Rap Monologue,spotify:album:6dRctIZQKuZCSSoR6QBBv9
spotify:track:5RBPXlIiZVrr8hab7LpRJB,Love Action (I Believe In Love),spotify:album:3ls7tE9D2SIvjTmRuEtsQY
spotify:track:7ddUIAiI2kH0rLBbi27wrH,Never Gonna Fall in Love Again - Live,spotify:album:2G3U48j96ljJgnWiIc7aGd
spotify:track:3mYh6egfMyl0Dek8r9ciK6,You Should Hear How She Talks About You,spotify:album:6V5kvtOghmiq68PtJXbg6W
spotify:track:76qB2ZEZlEJAMqMqUjKusp,(Everything I Do) I Do It For You,spotify:album:0RhmLffWf3oRr6ahOS6G47
spotify:track:4xCVHlmzEyIn1t4gXYsMaf,I've Gotta Get A Message To You,spotify:album:3LcOOTBvHj22Nl90AuRsro
spotify:track:4mnTMsp8Cgf9TNiQMhH11L,I Wish I Was a Punk Rocker (with Flowers in My Hair),spotify:album:2vh0Lg3vwmArk6KI0m9eb5
spotify:track:5IRWgQiN0c2i4U97iE3OoY,Heart of Gold - 2017 Remaster,spotify:album:2mFcOZBh8JmZdwIiOVeTw7
spotify:track:70JrLEkI7q8R0xkWI0YU96,Shake Ya Tailfeather - Radio,spotify:album:00dyKMXDH41ceeiMP21ACu
